event_idx,group,relative_match,points,team,season,manager,appointment_type
3363,Matched controls (kept manager),-6,1.230263157894737,Everton,2024/25,David Moyes,permanent
3432,Matched controls (kept manager),-6,0.6,Fulham,2018/19,Claudio Ranieri,permanent
3448,Matched controls (kept manager),-6,1.0568181818181819,Fulham,2018/19,Scott Parker,permanent
3708,Matched controls (kept manager),-6,0.43859649122807015,Huddersfield,2018/19,Mark Hudson,caretaker
3782,Matched controls (kept manager),-6,0.821917808219178,Hull,2016/17,Marco Silva,permanent
3902,Matched controls (kept manager),-6,1.0568181818181819,Leeds,2021/22,Jesse Marsch,permanent
3934,Matched controls (kept manager),-6,1.1943127962085307,Leeds,2022/23,Michael Skubala,caretaker
4091,Matched controls (kept manager),-6,0.6,Leicester,2016/17,Craig Shakespeare,caretaker_made_permanent
4169,Matched controls (kept manager),-6,1.446808510638298,Leicester,2018/19,Mike Stowell,caretaker
4322,Matched controls (kept manager),-6,1.230263157894737,Leicester,2022/23,Adam Sadler,caretaker
4344,Matched controls (kept manager),-6,1.1943127962085307,Leicester,2024/25,Ben Dawson,caretaker
5489,Matched controls (kept manager),-6,1.7025641025641025,Man United,2018/19,Ole Gunnar Solskjær,permanent
5598,Matched controls (kept manager),-6,1.5474452554744527,Man United,2021/22,Michael Carrick,caretaker
5758,Matched controls (kept manager),-6,1.304029304029304,Man United,2025/26,Darren Fletcher,caretaker
5803,Matched controls (kept manager),-6,0.43859649122807015,Middlesbrough,2016/17,Steve Agnew,caretaker
5833,Matched controls (kept manager),-6,1.7457627118644068,Newcastle,2014/15,John Carver,caretaker_made_permanent
5880,Matched controls (kept manager),-6,1.0568181818181819,Newcastle,2015/16,Rafael Benítez,permanent
6319,Matched controls (kept manager),-6,0.3484848484848485,Norwich,2021/22,Dean Smith,permanent
6401,Matched controls (kept manager),-6,0.821917808219178,Nott'm Forest,2023/24,Nuno Espírito Santo,permanent
6486,Matched controls (kept manager),-6,0.9879032258064516,Nott'm Forest,2025/26,Vítor Pereira,permanent
6521,Matched controls (kept manager),-6,1.3135593220338984,QPR,2014/15,Chris Ramsey,caretaker_made_permanent
6602,Matched controls (kept manager),-6,0.8016877637130801,Sheffield United,2020/21,Paul Heckingbottom,caretaker_made_permanent
6626,Matched controls (kept manager),-6,0.43859649122807015,Sheffield United,2023/24,Chris Wilder,permanent
6816,Matched controls (kept manager),-6,0.45794392523364486,Southampton,2018/19,Kelvin Davis,caretaker
6968,Matched controls (kept manager),-6,1.230263157894737,Southampton,2022/23,Nathan Jones,permanent
7008,Matched controls (kept manager),-6,0.46938775510204084,Southampton,2024/25,Simon Rusk,caretaker
7166,Matched controls (kept manager),-6,0.954954954954955,Stoke,2017/18,Eddie Niedzwiecki,caretaker
7387,Matched controls (kept manager),-6,0.821917808219178,Swansea,2015/16,Alan Curtis,caretaker_made_permanent
7428,Matched controls (kept manager),-6,1.3135593220338984,Swansea,2016/17,Alan Curtis,caretaker
7466,Matched controls (kept manager),-6,0.24242424242424243,Swansea,2017/18,Leon Britton,caretaker
7688,Matched controls (kept manager),-6,1.0764331210191083,Tottenham,2019/20,José Mourinho,permanent
7762,Matched controls (kept manager),-6,1.5982905982905984,Tottenham,2021/22,Antonio Conte,permanent
7818,Matched controls (kept manager),-6,1.7025641025641025,Tottenham,2022/23,Cristian Stellini,caretaker
7930,Matched controls (kept manager),-6,0.954954954954955,Tottenham,2025/26,Igor Tudor,permanent
8042,Matched controls (kept manager),-6,0.5588235294117647,Watford,2017/18,Javi Gracia,permanent
8108,Matched controls (kept manager),-6,0.4642857142857143,Watford,2019/20,Hayden Mullins,caretaker
8152,Matched controls (kept manager),-6,0.43859649122807015,Watford,2021/22,Roy Hodgson,permanent
8189,Matched controls (kept manager),-6,1.0568181818181819,West Brom,2014/15,Rob Kelly,caretaker
8296,Matched controls (kept manager),-6,0.46938775510204084,West Brom,2017/18,Gary Megson,caretaker
8335,Matched controls (kept manager),-6,0.821917808219178,West Brom,2020/21,Sam Allardyce,permanent
8485,Matched controls (kept manager),-6,1.1943127962085307,West Ham,2017/18,David Moyes,permanent
8569,Matched controls (kept manager),-6,0.4642857142857143,West Ham,2019/20,David Moyes,permanent
8760,Matched controls (kept manager),-6,1.0545454545454545,West Ham,2024/25,Graham Potter,permanent
9060,Matched controls (kept manager),-6,1.3135593220338984,Wolves,2024/25,Vítor Pereira,permanent
9092,Matched controls (kept manager),-6,0.2608695652173913,Wolves,2025/26,Jamie Collins,caretaker
203,Changed manager,-5,0.0,Arsenal,2019/20,Freddie Ljungberg,caretaker
481,Changed manager,-5,0.0,Aston Villa,2014/15,Tim Sherwood,permanent
504,Changed manager,-5,0.0,Aston Villa,2015/16,Kevin MacDonald,caretaker
619,Changed manager,-5,0.0,Aston Villa,2021/22,Steven Gerrard,permanent
657,Changed manager,-5,3.0,Aston Villa,2022/23,Aaron Danks,caretaker
2106,Changed manager,-5,0.0,Chelsea,2015/16,Steve Holland,caretaker
2299,Changed manager,-5,0.0,Chelsea,2020/21,Thomas Tuchel,permanent
2384,Changed manager,-5,0.0,Chelsea,2022/23,Bruno Saltor,caretaker
2489,Changed manager,-5,1.0,Chelsea,2025/26,Calum McFarlane,caretaker
2526,Changed manager,-5,0.0,Crystal Palace,2014/15,Keith Millen,caretaker
2601,Changed manager,-5,0.0,Crystal Palace,2016/17,Sam Allardyce,permanent
2839,Changed manager,-5,1.0,Crystal Palace,2022/23,Patrick McCarthy,caretaker
2874,Changed manager,-5,3.0,Crystal Palace,2023/24,Ray Lewington,caretaker
3169,Changed manager,-5,1.0,Everton,2019/20,Duncan Ferguson,caretaker
3249,Changed manager,-5,3.0,Everton,2021/22,Duncan Ferguson,caretaker
3288,Changed manager,-5,0.0,Everton,2022/23,Sean Dyche,permanent
3363,Changed manager,-5,1.0,Everton,2024/25,David Moyes,permanent
3432,Changed manager,-5,0.0,Fulham,2018/19,Claudio Ranieri,permanent
3448,Changed manager,-5,3.0,Fulham,2018/19,Scott Parker,permanent
3708,Changed manager,-5,0.0,Huddersfield,2018/19,Mark Hudson,caretaker
3782,Changed manager,-5,0.0,Hull,2016/17,Marco Silva,permanent
3902,Changed manager,-5,1.0,Leeds,2021/22,Jesse Marsch,permanent
3934,Changed manager,-5,1.0,Leeds,2022/23,Michael Skubala,caretaker
4091,Changed manager,-5,0.0,Leicester,2016/17,Craig Shakespeare,caretaker_made_permanent
4169,Changed manager,-5,0.0,Leicester,2018/19,Mike Stowell,caretaker
4322,Changed manager,-5,0.0,Leicester,2022/23,Adam Sadler,caretaker
4344,Changed manager,-5,3.0,Leicester,2024/25,Ben Dawson,caretaker
5489,Changed manager,-5,1.0,Man United,2018/19,Ole Gunnar Solskjær,permanent
5598,Changed manager,-5,0.0,Man United,2021/22,Michael Carrick,caretaker
5758,Changed manager,-5,1.0,Man United,2025/26,Darren Fletcher,caretaker
5803,Changed manager,-5,1.0,Middlesbrough,2016/17,Steve Agnew,caretaker
5833,Changed manager,-5,3.0,Newcastle,2014/15,John Carver,caretaker_made_permanent
5880,Changed manager,-5,0.0,Newcastle,2015/16,Rafael Benítez,permanent
6319,Changed manager,-5,1.0,Norwich,2021/22,Dean Smith,permanent
6401,Changed manager,-5,0.0,Nott'm Forest,2023/24,Nuno Espírito Santo,permanent
6486,Changed manager,-5,1.0,Nott'm Forest,2025/26,Vítor Pereira,permanent
6521,Changed manager,-5,1.0,QPR,2014/15,Chris Ramsey,caretaker_made_permanent
6602,Changed manager,-5,0.0,Sheffield United,2020/21,Paul Heckingbottom,caretaker_made_permanent
6626,Changed manager,-5,0.0,Sheffield United,2023/24,Chris Wilder,permanent
6816,Changed manager,-5,1.0,Southampton,2018/19,Kelvin Davis,caretaker
6968,Changed manager,-5,1.0,Southampton,2022/23,Nathan Jones,permanent
7008,Changed manager,-5,0.0,Southampton,2024/25,Simon Rusk,caretaker
7166,Changed manager,-5,0.0,Stoke,2017/18,Eddie Niedzwiecki,caretaker
7387,Changed manager,-5,0.0,Swansea,2015/16,Alan Curtis,caretaker_made_permanent
7428,Changed manager,-5,0.0,Swansea,2016/17,Alan Curtis,caretaker
7466,Changed manager,-5,0.0,Swansea,2017/18,Leon Britton,caretaker
7688,Changed manager,-5,0.0,Tottenham,2019/20,José Mourinho,permanent
7762,Changed manager,-5,0.0,Tottenham,2021/22,Antonio Conte,permanent
7818,Changed manager,-5,3.0,Tottenham,2022/23,Cristian Stellini,caretaker
7930,Changed manager,-5,0.0,Tottenham,2025/26,Igor Tudor,permanent
8042,Changed manager,-5,3.0,Watford,2017/18,Javi Gracia,permanent
8108,Changed manager,-5,1.0,Watford,2019/20,Hayden Mullins,caretaker
8152,Changed manager,-5,0.0,Watford,2021/22,Roy Hodgson,permanent
8189,Changed manager,-5,1.0,West Brom,2014/15,Rob Kelly,caretaker
8296,Changed manager,-5,1.0,West Brom,2017/18,Gary Megson,caretaker
8335,Changed manager,-5,0.0,West Brom,2020/21,Sam Allardyce,permanent
8485,Changed manager,-5,3.0,West Ham,2017/18,David Moyes,permanent
8569,Changed manager,-5,0.0,West Ham,2019/20,David Moyes,permanent
8760,Changed manager,-5,1.0,West Ham,2024/25,Graham Potter,permanent
9060,Changed manager,-5,3.0,Wolves,2024/25,Vítor Pereira,permanent
9092,Changed manager,-5,1.0,Wolves,2025/26,Jamie Collins,caretaker
203,Matched controls (kept manager),-5,1.3440366972477065,Arsenal,2019/20,Freddie Ljungberg,caretaker
481,Matched controls (kept manager),-5,0.42857142857142855,Aston Villa,2014/15,Tim Sherwood,permanent
504,Matched controls (kept manager),-5,0.46938775510204084,Aston Villa,2015/16,Kevin MacDonald,caretaker
619,Matched controls (kept manager),-5,1.127659574468085,Aston Villa,2021/22,Steven Gerrard,permanent
657,Matched controls (kept manager),-5,1.1895734597156398,Aston Villa,2022/23,Aaron Danks,caretaker
2106,Matched controls (kept manager),-5,1.105263157894737,Chelsea,2015/16,Steve Holland,caretaker
2299,Matched controls (kept manager),-5,1.2545454545454546,Chelsea,2020/21,Thomas Tuchel,permanent
2384,Matched controls (kept manager),-5,1.2837370242214532,Chelsea,2022/23,Bruno Saltor,caretaker
2489,Matched controls (kept manager),-5,2.06,Chelsea,2025/26,Calum McFarlane,caretaker
2526,Matched controls (kept manager),-5,0.8288288288288288,Crystal Palace,2014/15,Keith Millen,caretaker
2601,Matched controls (kept manager),-5,0.45614035087719296,Crystal Palace,2016/17,Sam Allardyce,permanent
2839,Matched controls (kept manager),-5,0.5294117647058824,Crystal Palace,2022/23,Patrick McCarthy,caretaker
2874,Matched controls (kept manager),-5,0.8435374149659864,Crystal Palace,2023/24,Ray Lewington,caretaker
3169,Matched controls (kept manager),-5,0.8863636363636364,Everton,2019/20,Duncan Ferguson,caretaker
3249,Matched controls (kept manager),-5,0.5294117647058824,Everton,2021/22,Duncan Ferguson,caretaker
3288,Matched controls (kept manager),-5,0.5294117647058824,Everton,2022/23,Sean Dyche,permanent
3363,Matched controls (kept manager),-5,1.105263157894737,Everton,2024/25,David Moyes,permanent
3432,Matched controls (kept manager),-5,0.5294117647058824,Fulham,2018/19,Claudio Ranieri,permanent
3448,Matched controls (kept manager),-5,0.8863636363636364,Fulham,2018/19,Scott Parker,permanent
3708,Matched controls (kept manager),-5,0.45614035087719296,Huddersfield,2018/19,Mark Hudson,caretaker
3782,Matched controls (kept manager),-5,0.7191780821917808,Hull,2016/17,Marco Silva,permanent
3902,Matched controls (kept manager),-5,0.8863636363636364,Leeds,2021/22,Jesse Marsch,permanent
3934,Matched controls (kept manager),-5,1.1895734597156398,Leeds,2022/23,Michael Skubala,caretaker
4091,Matched controls (kept manager),-5,0.5294117647058824,Leicester,2016/17,Craig Shakespeare,caretaker_made_permanent
4169,Matched controls (kept manager),-5,1.127659574468085,Leicester,2018/19,Mike Stowell,caretaker
4322,Matched controls (kept manager),-5,1.105263157894737,Leicester,2022/23,Adam Sadler,caretaker
4344,Matched controls (kept manager),-5,1.1895734597156398,Leicester,2024/25,Ben Dawson,caretaker
5489,Matched controls (kept manager),-5,1.8923076923076922,Man United,2018/19,Ole Gunnar Solskjær,permanent
5598,Matched controls (kept manager),-5,1.364963503649635,Man United,2021/22,Michael Carrick,caretaker
5758,Matched controls (kept manager),-5,1.1794871794871795,Man United,2025/26,Darren Fletcher,caretaker
5803,Matched controls (kept manager),-5,0.45614035087719296,Middlesbrough,2016/17,Steve Agnew,caretaker
5833,Matched controls (kept manager),-5,2.022598870056497,Newcastle,2014/15,John Carver,caretaker_made_permanent
5880,Matched controls (kept manager),-5,0.8863636363636364,Newcastle,2015/16,Rafael Benítez,permanent
6319,Matched controls (kept manager),-5,0.4090909090909091,Norwich,2021/22,Dean Smith,permanent
6401,Matched controls (kept manager),-5,0.7191780821917808,Nott'm Forest,2023/24,Nuno Espírito Santo,permanent
6486,Matched controls (kept manager),-5,1.0120967741935485,Nott'm Forest,2025/26,Vítor Pereira,permanent
6521,Matched controls (kept manager),-5,1.0593220338983051,QPR,2014/15,Chris Ramsey,caretaker_made_permanent
6602,Matched controls (kept manager),-5,0.8860759493670886,Sheffield United,2020/21,Paul Heckingbottom,caretaker_made_permanent
6626,Matched controls (kept manager),-5,0.45614035087719296,Sheffield United,2023/24,Chris Wilder,permanent
6816,Matched controls (kept manager),-5,0.4953271028037383,Southampton,2018/19,Kelvin Davis,caretaker
6968,Matched controls (kept manager),-5,1.105263157894737,Southampton,2022/23,Nathan Jones,permanent
7008,Matched controls (kept manager),-5,0.46938775510204084,Southampton,2024/25,Simon Rusk,caretaker
7166,Matched controls (kept manager),-5,0.8288288288288288,Stoke,2017/18,Eddie Niedzwiecki,caretaker
7387,Matched controls (kept manager),-5,0.7191780821917808,Swansea,2015/16,Alan Curtis,caretaker_made_permanent
7428,Matched controls (kept manager),-5,1.0593220338983051,Swansea,2016/17,Alan Curtis,caretaker
7466,Matched controls (kept manager),-5,0.24242424242424243,Swansea,2017/18,Leon Britton,caretaker
7688,Matched controls (kept manager),-5,1.019108280254777,Tottenham,2019/20,José Mourinho,permanent
7762,Matched controls (kept manager),-5,1.6324786324786325,Tottenham,2021/22,Antonio Conte,permanent
7818,Matched controls (kept manager),-5,1.8923076923076922,Tottenham,2022/23,Cristian Stellini,caretaker
7930,Matched controls (kept manager),-5,0.8288288288288288,Tottenham,2025/26,Igor Tudor,permanent
8042,Matched controls (kept manager),-5,0.5294117647058824,Watford,2017/18,Javi Gracia,permanent
8108,Matched controls (kept manager),-5,0.5595238095238095,Watford,2019/20,Hayden Mullins,caretaker
8152,Matched controls (kept manager),-5,0.45614035087719296,Watford,2021/22,Roy Hodgson,permanent
8189,Matched controls (kept manager),-5,0.8863636363636364,West Brom,2014/15,Rob Kelly,caretaker
8296,Matched controls (kept manager),-5,0.46938775510204084,West Brom,2017/18,Gary Megson,caretaker
8335,Matched controls (kept manager),-5,0.7191780821917808,West Brom,2020/21,Sam Allardyce,permanent
8485,Matched controls (kept manager),-5,1.1895734597156398,West Ham,2017/18,David Moyes,permanent
8569,Matched controls (kept manager),-5,0.5595238095238095,West Ham,2019/20,David Moyes,permanent
8760,Matched controls (kept manager),-5,1.2545454545454546,West Ham,2024/25,Graham Potter,permanent
9060,Matched controls (kept manager),-5,1.0593220338983051,Wolves,2024/25,Vítor Pereira,permanent
9092,Matched controls (kept manager),-5,0.2608695652173913,Wolves,2025/26,Jamie Collins,caretaker
203,Changed manager,-4,1.0,Arsenal,2019/20,Freddie Ljungberg,caretaker
481,Changed manager,-4,0.0,Aston Villa,2014/15,Tim Sherwood,permanent
504,Changed manager,-4,0.0,Aston Villa,2015/16,Kevin MacDonald,caretaker
619,Changed manager,-4,0.0,Aston Villa,2021/22,Steven Gerrard,permanent
657,Changed manager,-4,1.0,Aston Villa,2022/23,Aaron Danks,caretaker
2106,Changed manager,-4,3.0,Chelsea,2015/16,Steve Holland,caretaker
2299,Changed manager,-4,1.0,Chelsea,2020/21,Thomas Tuchel,permanent
2384,Changed manager,-4,3.0,Chelsea,2022/23,Bruno Saltor,caretaker
2489,Changed manager,-4,3.0,Chelsea,2025/26,Calum McFarlane,caretaker
2526,Changed manager,-4,1.0,Crystal Palace,2014/15,Keith Millen,caretaker
2601,Changed manager,-4,3.0,Crystal Palace,2016/17,Sam Allardyce,permanent
2839,Changed manager,-4,1.0,Crystal Palace,2022/23,Patrick McCarthy,caretaker
2874,Changed manager,-4,0.0,Crystal Palace,2023/24,Ray Lewington,caretaker
3169,Changed manager,-4,3.0,Everton,2019/20,Duncan Ferguson,caretaker
3249,Changed manager,-4,0.0,Everton,2021/22,Duncan Ferguson,caretaker
3288,Changed manager,-4,1.0,Everton,2022/23,Sean Dyche,permanent
3363,Changed manager,-4,1.0,Everton,2024/25,David Moyes,permanent
3432,Changed manager,-4,0.0,Fulham,2018/19,Claudio Ranieri,permanent
3448,Changed manager,-4,0.0,Fulham,2018/19,Scott Parker,permanent
3708,Changed manager,-4,0.0,Huddersfield,2018/19,Mark Hudson,caretaker
3782,Changed manager,-4,0.0,Hull,2016/17,Marco Silva,permanent
3902,Changed manager,-4,0.0,Leeds,2021/22,Jesse Marsch,permanent
3934,Changed manager,-4,1.0,Leeds,2022/23,Michael Skubala,caretaker
4091,Changed manager,-4,0.0,Leicester,2016/17,Craig Shakespeare,caretaker_made_permanent
4169,Changed manager,-4,1.0,Leicester,2018/19,Mike Stowell,caretaker
4322,Changed manager,-4,0.0,Leicester,2022/23,Adam Sadler,caretaker
4344,Changed manager,-4,0.0,Leicester,2024/25,Ben Dawson,caretaker
5489,Changed manager,-4,1.0,Man United,2018/19,Ole Gunnar Solskjær,permanent
5598,Changed manager,-4,0.0,Man United,2021/22,Michael Carrick,caretaker
5758,Changed manager,-4,0.0,Man United,2025/26,Darren Fletcher,caretaker
5803,Changed manager,-4,0.0,Middlesbrough,2016/17,Steve Agnew,caretaker
5833,Changed manager,-4,0.0,Newcastle,2014/15,John Carver,caretaker_made_permanent
5880,Changed manager,-4,3.0,Newcastle,2015/16,Rafael Benítez,permanent
6319,Changed manager,-4,1.0,Norwich,2021/22,Dean Smith,permanent
6401,Changed manager,-4,0.0,Nott'm Forest,2023/24,Nuno Espírito Santo,permanent
6486,Changed manager,-4,3.0,Nott'm Forest,2025/26,Vítor Pereira,permanent
6521,Changed manager,-4,1.0,QPR,2014/15,Chris Ramsey,caretaker_made_permanent
6602,Changed manager,-4,0.0,Sheffield United,2020/21,Paul Heckingbottom,caretaker_made_permanent
6626,Changed manager,-4,3.0,Sheffield United,2023/24,Chris Wilder,permanent
6816,Changed manager,-4,0.0,Southampton,2018/19,Kelvin Davis,caretaker
6968,Changed manager,-4,3.0,Southampton,2022/23,Nathan Jones,permanent
7008,Changed manager,-4,1.0,Southampton,2024/25,Simon Rusk,caretaker
7166,Changed manager,-4,3.0,Stoke,2017/18,Eddie Niedzwiecki,caretaker
7387,Changed manager,-4,0.0,Swansea,2015/16,Alan Curtis,caretaker_made_permanent
7428,Changed manager,-4,3.0,Swansea,2016/17,Alan Curtis,caretaker
7466,Changed manager,-4,0.0,Swansea,2017/18,Leon Britton,caretaker
7688,Changed manager,-4,1.0,Tottenham,2019/20,José Mourinho,permanent
7762,Changed manager,-4,3.0,Tottenham,2021/22,Antonio Conte,permanent
7818,Changed manager,-4,3.0,Tottenham,2022/23,Cristian Stellini,caretaker
7930,Changed manager,-4,1.0,Tottenham,2025/26,Igor Tudor,permanent
8042,Changed manager,-4,0.0,Watford,2017/18,Javi Gracia,permanent
8108,Changed manager,-4,0.0,Watford,2019/20,Hayden Mullins,caretaker
8152,Changed manager,-4,0.0,Watford,2021/22,Roy Hodgson,permanent
8189,Changed manager,-4,3.0,West Brom,2014/15,Rob Kelly,caretaker
8296,Changed manager,-4,0.0,West Brom,2017/18,Gary Megson,caretaker
8335,Changed manager,-4,3.0,West Brom,2020/21,Sam Allardyce,permanent
8485,Changed manager,-4,1.0,West Ham,2017/18,David Moyes,permanent
8569,Changed manager,-4,0.0,West Ham,2019/20,David Moyes,permanent
8760,Changed manager,-4,1.0,West Ham,2024/25,Graham Potter,permanent
9060,Changed manager,-4,0.0,Wolves,2024/25,Vítor Pereira,permanent
9092,Changed manager,-4,1.0,Wolves,2025/26,Jamie Collins,caretaker
203,Matched controls (kept manager),-4,1.5642201834862386,Arsenal,2019/20,Freddie Ljungberg,caretaker
481,Matched controls (kept manager),-4,0.5714285714285714,Aston Villa,2014/15,Tim Sherwood,permanent
504,Matched controls (kept manager),-4,0.6326530612244898,Aston Villa,2015/16,Kevin MacDonald,caretaker
619,Matched controls (kept manager),-4,1.0957446808510638,Aston Villa,2021/22,Steven Gerrard,permanent
657,Matched controls (kept manager),-4,1.0,Aston Villa,2022/23,Aaron Danks,caretaker
2106,Matched controls (kept manager),-4,0.9210526315789473,Chelsea,2015/16,Steve Holland,caretaker
2299,Matched controls (kept manager),-4,1.3709090909090909,Chelsea,2020/21,Thomas Tuchel,permanent
2384,Matched controls (kept manager),-4,1.3494809688581315,Chelsea,2022/23,Bruno Saltor,caretaker
2489,Matched controls (kept manager),-4,1.88,Chelsea,2025/26,Calum McFarlane,caretaker
2526,Matched controls (kept manager),-4,0.7477477477477478,Crystal Palace,2014/15,Keith Millen,caretaker
2601,Matched controls (kept manager),-4,0.5964912280701754,Crystal Palace,2016/17,Sam Allardyce,permanent
2839,Matched controls (kept manager),-4,0.5764705882352941,Crystal Palace,2022/23,Patrick McCarthy,caretaker
2874,Matched controls (kept manager),-4,0.7482993197278912,Crystal Palace,2023/24,Ray Lewington,caretaker
3169,Matched controls (kept manager),-4,0.7386363636363636,Everton,2019/20,Duncan Ferguson,caretaker
3249,Matched controls (kept manager),-4,0.5686274509803921,Everton,2021/22,Duncan Ferguson,caretaker
3288,Matched controls (kept manager),-4,0.5764705882352941,Everton,2022/23,Sean Dyche,permanent
3363,Matched controls (kept manager),-4,0.9210526315789473,Everton,2024/25,David Moyes,permanent
3432,Matched controls (kept manager),-4,0.5764705882352941,Fulham,2018/19,Claudio Ranieri,permanent
3448,Matched controls (kept manager),-4,0.7386363636363636,Fulham,2018/19,Scott Parker,permanent
3708,Matched controls (kept manager),-4,0.5964912280701754,Huddersfield,2018/19,Mark Hudson,caretaker
3782,Matched controls (kept manager),-4,0.7123287671232876,Hull,2016/17,Marco Silva,permanent
3902,Matched controls (kept manager),-4,0.7386363636363636,Leeds,2021/22,Jesse Marsch,permanent
3934,Matched controls (kept manager),-4,1.0,Leeds,2022/23,Michael Skubala,caretaker
4091,Matched controls (kept manager),-4,0.5764705882352941,Leicester,2016/17,Craig Shakespeare,caretaker_made_permanent
4169,Matched controls (kept manager),-4,1.0957446808510638,Leicester,2018/19,Mike Stowell,caretaker
4322,Matched controls (kept manager),-4,0.9210526315789473,Leicester,2022/23,Adam Sadler,caretaker
4344,Matched controls (kept manager),-4,1.0,Leicester,2024/25,Ben Dawson,caretaker
5489,Matched controls (kept manager),-4,1.7435897435897436,Man United,2018/19,Ole Gunnar Solskjær,permanent
5598,Matched controls (kept manager),-4,1.4708029197080292,Man United,2021/22,Michael Carrick,caretaker
5758,Matched controls (kept manager),-4,1.1611721611721613,Man United,2025/26,Darren Fletcher,caretaker
5803,Matched controls (kept manager),-4,0.5964912280701754,Middlesbrough,2016/17,Steve Agnew,caretaker
5833,Matched controls (kept manager),-4,1.7118644067796611,Newcastle,2014/15,John Carver,caretaker_made_permanent
5880,Matched controls (kept manager),-4,0.7386363636363636,Newcastle,2015/16,Rafael Benítez,permanent
6319,Matched controls (kept manager),-4,0.30303030303030304,Norwich,2021/22,Dean Smith,permanent
6401,Matched controls (kept manager),-4,0.7123287671232876,Nott'm Forest,2023/24,Nuno Espírito Santo,permanent
6486,Matched controls (kept manager),-4,0.9475806451612904,Nott'm Forest,2025/26,Vítor Pereira,permanent
6521,Matched controls (kept manager),-4,0.9067796610169492,QPR,2014/15,Chris Ramsey,caretaker_made_permanent
6602,Matched controls (kept manager),-4,0.890295358649789,Sheffield United,2020/21,Paul Heckingbottom,caretaker_made_permanent
6626,Matched controls (kept manager),-4,0.5964912280701754,Sheffield United,2023/24,Chris Wilder,permanent
6816,Matched controls (kept manager),-4,0.3644859813084112,Southampton,2018/19,Kelvin Davis,caretaker
6968,Matched controls (kept manager),-4,0.9210526315789473,Southampton,2022/23,Nathan Jones,permanent
7008,Matched controls (kept manager),-4,0.6326530612244898,Southampton,2024/25,Simon Rusk,caretaker
7166,Matched controls (kept manager),-4,0.7477477477477478,Stoke,2017/18,Eddie Niedzwiecki,caretaker
7387,Matched controls (kept manager),-4,0.7123287671232876,Swansea,2015/16,Alan Curtis,caretaker_made_permanent
7428,Matched controls (kept manager),-4,0.9067796610169492,Swansea,2016/17,Alan Curtis,caretaker
7466,Matched controls (kept manager),-4,0.18181818181818182,Swansea,2017/18,Leon Britton,caretaker
7688,Matched controls (kept manager),-4,1.0955414012738853,Tottenham,2019/20,José Mourinho,permanent
7762,Matched controls (kept manager),-4,1.6923076923076923,Tottenham,2021/22,Antonio Conte,permanent
7818,Matched controls (kept manager),-4,1.7435897435897436,Tottenham,2022/23,Cristian Stellini,caretaker
7930,Matched controls (kept manager),-4,0.7477477477477478,Tottenham,2025/26,Igor Tudor,permanent
8042,Matched controls (kept manager),-4,0.5686274509803921,Watford,2017/18,Javi Gracia,permanent
8108,Matched controls (kept manager),-4,0.6904761904761905,Watford,2019/20,Hayden Mullins,caretaker
8152,Matched controls (kept manager),-4,0.5964912280701754,Watford,2021/22,Roy Hodgson,permanent
8189,Matched controls (kept manager),-4,0.7386363636363636,West Brom,2014/15,Rob Kelly,caretaker
8296,Matched controls (kept manager),-4,0.6326530612244898,West Brom,2017/18,Gary Megson,caretaker
8335,Matched controls (kept manager),-4,0.7123287671232876,West Brom,2020/21,Sam Allardyce,permanent
8485,Matched controls (kept manager),-4,1.0,West Ham,2017/18,David Moyes,permanent
8569,Matched controls (kept manager),-4,0.6904761904761905,West Ham,2019/20,David Moyes,permanent
8760,Matched controls (kept manager),-4,1.3709090909090909,West Ham,2024/25,Graham Potter,permanent
9060,Matched controls (kept manager),-4,0.9067796610169492,Wolves,2024/25,Vítor Pereira,permanent
9092,Matched controls (kept manager),-4,0.391304347826087,Wolves,2025/26,Jamie Collins,caretaker
203,Changed manager,-3,1.0,Arsenal,2019/20,Freddie Ljungberg,caretaker
481,Changed manager,-3,0.0,Aston Villa,2014/15,Tim Sherwood,permanent
504,Changed manager,-3,0.0,Aston Villa,2015/16,Kevin MacDonald,caretaker
619,Changed manager,-3,0.0,Aston Villa,2021/22,Steven Gerrard,permanent
657,Changed manager,-3,1.0,Aston Villa,2022/23,Aaron Danks,caretaker
2106,Changed manager,-3,1.0,Chelsea,2015/16,Steve Holland,caretaker
2299,Changed manager,-3,0.0,Chelsea,2020/21,Thomas Tuchel,permanent
2384,Changed manager,-3,3.0,Chelsea,2022/23,Bruno Saltor,caretaker
2489,Changed manager,-3,1.0,Chelsea,2025/26,Calum McFarlane,caretaker
2526,Changed manager,-3,1.0,Crystal Palace,2014/15,Keith Millen,caretaker
2601,Changed manager,-3,1.0,Crystal Palace,2016/17,Sam Allardyce,permanent
2839,Changed manager,-3,0.0,Crystal Palace,2022/23,Patrick McCarthy,caretaker
2874,Changed manager,-3,3.0,Crystal Palace,2023/24,Ray Lewington,caretaker
3169,Changed manager,-3,0.0,Everton,2019/20,Duncan Ferguson,caretaker
3249,Changed manager,-3,1.0,Everton,2021/22,Duncan Ferguson,caretaker
3288,Changed manager,-3,0.0,Everton,2022/23,Sean Dyche,permanent
3363,Changed manager,-3,1.0,Everton,2024/25,David Moyes,permanent
3432,Changed manager,-3,0.0,Fulham,2018/19,Claudio Ranieri,permanent
3448,Changed manager,-3,0.0,Fulham,2018/19,Scott Parker,permanent
