season,team,points,points_prev,d_points,expected_d_points,beat_model_by,spend_eur_m,spend_rel,signings,paid_signings,new_manager,xgd_pg
2017/18,Crystal Palace,44,41,3,10.7,-7.7,37.2,0.55,4.0,2.0,Yes,0.08
2018/19,Crystal Palace,49,44,5,5.6,-0.6,10.7,0.17,3.0,1.0,No,-0.06
2019/20,Crystal Palace,43,49,-6,-0.9,-5.1,6.1,0.08,2.0,2.0,No,-0.6
2020/21,Crystal Palace,44,43,1,-4.2,5.2,17.8,0.31,3.0,1.0,No,-0.7
2021/22,Crystal Palace,48,44,4,0.4,3.6,73.4,1.15,7.0,5.0,Yes,0.2
2022/23,Crystal Palace,45,48,-3,4.4,-7.4,34.6,0.3,5.0,2.0,No,-0.29
2023/24,Crystal Palace,49,45,4,-0.9,4.9,38.7,0.28,4.0,3.0,No,-0.11
2024/25,Crystal Palace,53,49,4,-0.5,4.5,77.7,0.66,9.0,4.0,No,0.23
2025/26,Crystal Palace,45,53,-8,0.9,-8.9,55.3,0.31,7.0,3.0,No,0.06
2015/16,Everton,47,47,0,1.9,-1.9,19.6,0.45,3.0,3.0,No,-0.02
2016/17,Everton,61,47,14,7.8,6.2,39.2,0.74,4.0,3.0,Yes,0.1
2017/18,Everton,49,61,-12,-3.4,-8.6,158.2,2.33,7.0,7.0,No,-0.31
2018/19,Everton,54,49,5,3.0,2.0,89.6,1.41,6.0,3.0,Yes,0.12
2019/20,Everton,49,54,-5,0.8,-5.8,107.9,1.49,6.0,4.0,No,0.12
2020/21,Everton,59,49,10,3.5,6.5,46.9,0.82,4.0,3.0,No,-0.02
2021/22,Everton,39,59,-20,-3.8,-16.2,2.0,0.03,5.0,1.0,Yes,-0.43
2022/23,Everton,36,39,-3,2.9,-5.9,83.1,0.72,8.0,5.0,No,-0.52
2023/24,Everton,48,36,12,2.8,9.2,37.5,0.27,5.0,2.0,No,0.01
2024/25,Everton,48,48,0,1.7,-1.7,48.2,0.41,6.0,3.0,No,-0.18
2025/26,Everton,49,48,1,-0.7,1.7,127.8,0.72,9.0,6.0,No,-0.27
2023/24,Fulham,47,52,-5,-11.4,6.4,68.5,0.49,7.0,5.0,No,-0.37
2024/25,Fulham,54,47,7,-2.7,9.7,91.6,0.78,6.0,4.0,No,0.23
2025/26,Fulham,52,54,-2,-0.2,-1.8,40.5,0.23,4.0,2.0,No,-0.3
2018/19,Huddersfield,16,37,-21,1.2,-22.2,10.0,0.16,4.0,3.0,No,-1.01
2021/22,Leeds,38,59,-21,-8.0,-13.0,59.3,0.93,6.0,4.0,No,-0.53
2022/23,Leeds,31,38,-7,2.5,-9.5,104.3,0.91,7.0,6.0,No,-0.57
2015/16,Leicester,81,41,40,9.3,30.7,27.0,0.62,3.0,3.0,Yes,0.62
2016/17,Leicester,44,81,-37,-13.8,-23.2,74.5,1.41,6.0,5.0,No,-0.18
2017/18,Leicester,47,44,3,3.5,-0.5,76.9,1.13,5.0,4.0,No,0.02
2018/19,Leicester,52,47,5,5.8,-0.8,114.6,1.8,7.0,7.0,No,0.2
2019/20,Leicester,62,52,10,3.6,6.4,104.3,1.44,5.0,4.0,No,0.35
2020/21,Leicester,66,62,4,-4.7,8.7,20.9,0.37,2.0,1.0,No,0.31
2021/22,Leicester,52,66,-14,-8.1,-5.9,37.6,0.59,3.0,2.0,No,-0.44
2022/23,Leicester,34,52,-18,-9.3,-8.7,17.0,0.15,1.0,1.0,No,-0.28
2015/16,Liverpool,60,62,-2,-3.7,1.7,32.0,0.74,5.0,4.0,No,0.43
2016/17,Liverpool,76,60,16,0.7,15.3,74.9,1.42,4.0,3.0,No,0.76
2017/18,Liverpool,75,76,-1,-7.5,6.5,89.0,1.31,4.0,3.0,No,1.1
2018/19,Liverpool,97,75,22,2.4,19.6,192.2,3.02,4.0,4.0,No,1.32
2019/20,Liverpool,99,97,2,-18.8,20.8,1.9,0.03,3.0,1.0,No,0.94
2020/21,Liverpool,69,99,-30,-23.5,-6.5,80.4,1.41,4.0,4.0,No,0.66
2021/22,Liverpool,92,69,23,-5.0,28.0,40.0,0.63,1.0,1.0,No,1.59
2022/23,Liverpool,67,92,-25,-8.8,-16.2,94.4,0.82,3.0,2.0,No,0.66
2023/24,Liverpool,82,67,15,-1.9,16.9,172.0,1.23,4.0,4.0,No,1.25
2024/25,Liverpool,84,82,2,-1.9,3.9,42.0,0.36,2.0,2.0,Yes,1.34
2025/26,Liverpool,60,84,-24,-1.9,-22.1,481.4,2.71,7.0,6.0,No,0.35
2015/16,Man City,66,79,-13,-0.7,-12.3,189.4,4.36,6.0,6.0,No,0.76
2016/17,Man City,78,66,12,9.6,2.4,165.2,3.13,8.0,8.0,Yes,1.32
2017/18,Man City,100,78,22,4.7,17.3,244.7,3.6,7.0,7.0,No,1.76
2018/19,Man City,98,100,-2,-12.0,10.0,71.2,1.12,3.0,3.0,No,1.79
2019/20,Man City,81,98,-17,-7.3,-9.7,166.8,2.3,7.0,6.0,No,1.72
2020/21,Man City,86,81,5,6.7,-1.7,160.9,2.81,5.0,5.0,No,1.24
2021/22,Man City,93,86,7,-7.1,14.1,117.5,1.85,1.0,1.0,No,1.79
2022/23,Man City,89,93,-4,-5.4,1.4,144.0,1.26,5.0,4.0,No,1.32
2023/24,Man City,91,89,2,-8.5,10.5,241.1,1.73,4.0,4.0,No,1.38
2024/25,Man City,71,91,-20,-12.6,-7.4,25.0,0.21,1.0,1.0,No,0.53
2025/26,Man City,78,71,7,-7.4,14.4,206.8,1.16,7.0,7.0,No,0.86
2015/16,Man United,66,70,-4,-4.1,0.1,147.0,3.38,4.0,4.0,No,0.15
2016/17,Man United,69,66,3,0.9,2.1,185.0,3.51,3.0,3.0,Yes,0.68
2017/18,Man United,81,69,12,-0.6,12.6,164.4,2.42,3.0,3.0,No,0.41
2018/19,Man United,66,81,-15,-17.4,2.4,81.0,1.27,2.0,2.0,No,0.43
2019/20,Man United,66,66,0,-2.6,2.6,159.8,2.2,3.0,3.0,No,0.74
2020/21,Man United,74,66,8,-1.0,9.0,39.0,0.68,1.0,1.0,No,0.56
2021/22,Man United,58,74,-16,-7.1,-8.9,142.0,2.23,4.0,3.0,No,0.01
2022/23,Man United,75,58,17,2.1,14.9,238.0,2.08,6.0,4.0,Yes,0.57
2023/24,Man United,60,75,-15,-9.5,-5.5,202.7,1.45,7.0,4.0,No,-0.38
2024/25,Man United,42,60,-18,-11.3,-6.7,214.5,1.83,5.0,5.0,No,-0.1
2025/26,Man United,71,42,29,7.1,21.9,250.7,1.41,5.0,5.0,No,0.58
2015/16,Newcastle,37,39,-2,12.1,-14.1,69.2,1.59,5.0,5.0,Yes,-0.47
2018/19,Newcastle,45,44,1,1.5,-0.5,25.7,0.4,6.0,4.0,No,-0.46
2019/20,Newcastle,44,45,-1,2.8,-3.8,66.9,0.92,4.0,3.0,Yes,-0.8
2020/21,Newcastle,45,44,1,-7.3,8.3,38.8,0.68,5.0,2.0,No,-0.42
2021/22,Newcastle,49,45,4,-2.6,6.6,29.4,0.46,1.0,1.0,No,-0.56
2022/23,Newcastle,71,49,22,-6.3,28.3,143.5,1.25,5.0,4.0,No,0.92
2023/24,Newcastle,60,71,-11,-1.4,-9.6,150.0,1.08,5.0,4.0,No,0.58
2024/25,Newcastle,66,60,6,1.2,4.8,68.2,0.58,5.0,3.0,No,0.46
2025/26,Newcastle,49,66,-17,-3.6,-13.4,274.2,1.54,6.0,5.0,No,0.09
