team,manager,spell_no,start_date,end_date,matches,ppg,xgd_per_game,appointment_type,change_timing,prev_departure,position_at_vacancy
Leicester,Mike Stowell,6,2019-02-26,2019-02-26,1,3.0,0.72,caretaker,mid_season,,
Leicester,Brendan Rodgers,7,2019-03-03,2023-04-01,152,1.46,0.02,permanent,mid_season,sacked,12th
Leicester,Adam Sadler,8,2023-04-04,2023-04-08,2,0.0,-0.76,caretaker,mid_season,mutual_consent,19th
Leicester,Dean Smith,9,2023-04-15,2023-05-28,8,1.13,0.18,permanent,mid_season,end_of_caretaker,19th
Leicester,Steve Cooper,10,2024-08-19,2024-11-23,12,0.83,-1.19,permanent,between_seasons,left_for_new_job,Pre-season
Leicester,Ben Dawson,11,2024-11-30,2024-11-30,1,0.0,-1.31,caretaker,mid_season,sacked,16th
Leicester,Ruud van Nistelrooy,12,2024-12-03,2025-05-25,25,0.6,-1.29,permanent,mid_season,end_of_caretaker,16th
Liverpool,Brendan Rodgers,1,2014-08-17,2015-10-04,46,1.61,0.35,first spell in data,,,
Liverpool,Jürgen Klopp,2,2015-10-17,2024-05-19,334,2.11,0.98,permanent,mid_season,sacked,10th
Liverpool,Arne Slot,3,2024-08-17,2026-05-24,76,1.89,0.85,permanent,between_seasons,resigned,Pre-season
Luton,Rob Edwards,1,2023-08-12,2024-05-19,38,0.68,-1.1,first spell in data,,,
Man City,Manuel Pellegrini,1,2014-08-17,2016-05-15,76,1.91,0.84,first spell in data,,,
Man City,Pep Guardiola,2,2016-08-13,2026-05-24,380,2.28,1.37,permanent,between_seasons,end_of_contract,Pre-season
Man United,Louis van Gaal,1,2014-08-16,2016-05-17,76,1.79,0.26,first spell in data,,,
Man United,José Mourinho,2,2016-08-14,2018-12-16,93,1.89,0.46,permanent,between_seasons,sacked,Pre-season
Man United,Ole Gunnar Solskjær,3,2018-12-22,2021-11-20,109,1.81,0.57,permanent,mid_season,sacked,6th
Man United,Michael Carrick,4,2021-11-28,2021-12-02,2,2.0,-0.55,caretaker,mid_season,sacked,7th
Man United,Ralf Rangnick,5,2021-12-05,2022-05-22,24,1.54,0.16,caretaker,mid_season,end_of_caretaker,7th
Man United,Erik ten Hag,6,2022-08-07,2024-10-27,85,1.72,0.06,permanent,between_seasons,end_of_caretaker,Pre-season
Man United,Ruud van Nistelrooy,7,2024-11-03,2024-11-10,2,2.0,0.88,caretaker,mid_season,sacked,14th
Man United,Rúben Amorim,8,2024-11-24,2026-01-04,47,1.23,0.14,permanent,mid_season,end_of_caretaker,13th
Man United,Darren Fletcher,9,2026-01-07,2026-01-07,1,1.0,2.21,caretaker,mid_season,,
Man United,Michael Carrick,10,2026-01-17,2026-05-24,17,2.29,0.54,permanent,mid_season,sacked,6th
Middlesbrough,Aitor Karanka,1,2016-08-13,2017-03-04,27,0.81,-0.53,first spell in data,,,
Middlesbrough,Steve Agnew,2,2017-03-19,2017-05-21,11,0.55,-0.91,caretaker,mid_season,mutual_consent,19th
Newcastle,Alan Pardew,1,2014-08-17,2014-12-28,19,1.37,-0.13,first spell in data,,,
Newcastle,John Carver,2,2015-01-01,2015-05-24,19,0.68,-0.43,caretaker_made_permanent,mid_season,left_for_new_job,10th
Newcastle,Steve McClaren,3,2015-08-09,2016-03-05,28,0.86,-0.65,permanent,between_seasons,sacked,Pre-season
