season,date,team,opponent,venue,goals_for,goals_against,points,xg_for,xg_against,head_coach,appointment_type,rolling_ppg_10
2015/16,2015-10-17,Arsenal,Watford,Away,3,0,3,2.69,0.25,Arsène Wenger,first spell in data,2.2
2015/16,2015-10-24,Arsenal,Everton,Home,2,1,3,2.56,0.37,Arsène Wenger,first spell in data,2.2
2015/16,2015-10-31,Arsenal,Swansea,Away,3,0,3,2.18,0.26,Arsène Wenger,first spell in data,2.5
2015/16,2015-11-08,Arsenal,Tottenham,Home,1,1,1,2.02,0.91,Arsène Wenger,first spell in data,2.3
2015/16,2015-11-21,Arsenal,West Brom,Away,1,2,0,2.09,0.33,Arsène Wenger,first spell in data,2.2
2015/16,2015-11-29,Arsenal,Norwich,Away,1,1,1,1.66,1.01,Arsène Wenger,first spell in data,2.0
2015/16,2015-12-05,Arsenal,Sunderland,Home,3,1,3,2.3,1.52,Arsène Wenger,first spell in data,2.0
2015/16,2015-12-13,Arsenal,Aston Villa,Away,2,0,3,1.68,1.01,Arsène Wenger,first spell in data,2.3
2015/16,2015-12-21,Arsenal,Man City,Home,2,1,3,1.5,0.77,Arsène Wenger,first spell in data,2.3
2015/16,2015-12-26,Arsenal,Southampton,Away,0,4,0,0.83,2.43,Arsène Wenger,first spell in data,2.0
2015/16,2015-12-28,Arsenal,Bournemouth,Home,2,0,3,3.13,0.34,Arsène Wenger,first spell in data,2.0
2015/16,2016-01-02,Arsenal,Newcastle,Home,1,0,3,1.93,1.15,Arsène Wenger,first spell in data,2.0
2015/16,2016-01-13,Arsenal,Liverpool,Away,3,3,1,2.23,1.16,Arsène Wenger,first spell in data,1.8
2015/16,2016-01-17,Arsenal,Stoke,Away,0,0,1,0.59,0.55,Arsène Wenger,first spell in data,1.8
2015/16,2016-01-24,Arsenal,Chelsea,Home,0,1,0,1.11,1.49,Arsène Wenger,first spell in data,1.8
2015/16,2016-02-02,Arsenal,Southampton,Home,0,0,1,3.38,0.93,Arsène Wenger,first spell in data,1.8
2015/16,2016-02-07,Arsenal,Bournemouth,Away,2,0,3,1.14,0.58,Arsène Wenger,first spell in data,1.8
2015/16,2016-02-14,Arsenal,Leicester,Home,2,1,3,2.36,1.31,Arsène Wenger,first spell in data,1.8
2015/16,2016-02-28,Arsenal,Man United,Away,2,3,0,1.54,1.1,Arsène Wenger,first spell in data,1.5
2015/16,2016-03-02,Arsenal,Swansea,Home,1,2,0,1.49,1.7,Arsène Wenger,first spell in data,1.5
2015/16,2016-03-05,Arsenal,Tottenham,Away,2,2,1,0.54,1.88,Arsène Wenger,first spell in data,1.3
2015/16,2016-03-19,Arsenal,Everton,Away,2,0,3,1.92,0.59,Arsène Wenger,first spell in data,1.3
2015/16,2016-04-02,Arsenal,Watford,Home,4,0,3,3.01,0.29,Arsène Wenger,first spell in data,1.5
2015/16,2016-04-09,Arsenal,West Ham,Away,3,3,1,1.47,1.11,Arsène Wenger,first spell in data,1.5
2015/16,2016-04-17,Arsenal,Crystal Palace,Home,1,1,1,1.73,0.28,Arsène Wenger,first spell in data,1.6
2015/16,2016-04-21,Arsenal,West Brom,Home,2,0,3,1.37,0.84,Arsène Wenger,first spell in data,1.8
2015/16,2016-04-24,Arsenal,Sunderland,Away,0,0,1,0.97,0.62,Arsène Wenger,first spell in data,1.6
2015/16,2016-04-30,Arsenal,Norwich,Home,1,0,3,0.78,0.58,Arsène Wenger,first spell in data,1.6
2015/16,2016-05-08,Arsenal,Man City,Away,2,2,1,1.08,0.75,Arsène Wenger,first spell in data,1.7
2015/16,2016-05-15,Arsenal,Aston Villa,Home,4,0,3,3.4,0.22,Arsène Wenger,first spell in data,2.0
2016/17,2016-08-14,Arsenal,Liverpool,Home,3,4,0,1.18,1.66,Arsène Wenger,first spell in data,1.9
2016/17,2016-08-20,Arsenal,Leicester,Away,0,0,1,0.52,0.55,Arsène Wenger,first spell in data,1.7
2016/17,2016-08-27,Arsenal,Watford,Away,3,1,3,2.03,1.08,Arsène Wenger,first spell in data,1.7
2016/17,2016-09-10,Arsenal,Southampton,Home,2,1,3,1.89,1.18,Arsène Wenger,first spell in data,1.9
2016/17,2016-09-17,Arsenal,Hull,Away,4,1,3,3.63,0.97,Arsène Wenger,first spell in data,2.1
2016/17,2016-09-24,Arsenal,Chelsea,Home,3,0,3,1.66,0.61,Arsène Wenger,first spell in data,2.1
2016/17,2016-10-02,Arsenal,Burnley,Away,1,0,3,1.85,0.61,Arsène Wenger,first spell in data,2.3
2016/17,2016-10-15,Arsenal,Swansea,Home,3,2,3,3.51,1.75,Arsène Wenger,first spell in data,2.3
2016/17,2016-10-22,Arsenal,Middlesbrough,Home,0,0,1,0.71,1.56,Arsène Wenger,first spell in data,2.3
2016/17,2016-10-29,Arsenal,Sunderland,Away,4,1,3,2.48,0.85,Arsène Wenger,first spell in data,2.3
2016/17,2016-11-06,Arsenal,Tottenham,Home,1,1,1,0.68,1.2,Arsène Wenger,first spell in data,2.4
2016/17,2016-11-19,Arsenal,Man United,Away,1,1,1,0.58,0.51,Arsène Wenger,first spell in data,2.4
2016/17,2016-11-27,Arsenal,Bournemouth,Home,3,1,3,2.87,2.05,Arsène Wenger,first spell in data,2.4
2016/17,2016-12-03,Arsenal,West Ham,Away,5,1,3,2.97,0.88,Arsène Wenger,first spell in data,2.4
2016/17,2016-12-10,Arsenal,Stoke,Home,3,1,3,1.58,1.29,Arsène Wenger,first spell in data,2.4
2016/17,2016-12-13,Arsenal,Everton,Away,1,2,0,1.35,1.46,Arsène Wenger,first spell in data,2.1
2016/17,2016-12-18,Arsenal,Man City,Away,1,2,0,0.61,1.52,Arsène Wenger,first spell in data,1.8
2016/17,2016-12-26,Arsenal,West Brom,Home,1,0,3,1.98,0.69,Arsène Wenger,first spell in data,1.8
2016/17,2017-01-01,Arsenal,Crystal Palace,Home,2,0,3,1.67,0.22,Arsène Wenger,first spell in data,2.0
2016/17,2017-01-03,Arsenal,Bournemouth,Away,3,3,1,1.13,1.56,Arsène Wenger,first spell in data,1.8
2016/17,2017-01-14,Arsenal,Swansea,Away,4,0,3,2.32,0.49,Arsène Wenger,first spell in data,2.0
2016/17,2017-01-22,Arsenal,Burnley,Home,2,1,3,1.86,1.3,Arsène Wenger,first spell in data,2.2
2016/17,2017-01-31,Arsenal,Watford,Home,1,2,0,1.08,0.92,Arsène Wenger,first spell in data,1.9
2016/17,2017-02-04,Arsenal,Chelsea,Away,1,3,0,0.95,1.95,Arsène Wenger,first spell in data,1.6
2016/17,2017-02-11,Arsenal,Hull,Home,2,0,3,3.12,0.47,Arsène Wenger,first spell in data,1.6
2016/17,2017-03-04,Arsenal,Liverpool,Away,1,3,0,0.73,2.7,Arsène Wenger,first spell in data,1.6
2016/17,2017-03-18,Arsenal,West Brom,Away,1,3,0,1.0,2.12,Arsène Wenger,first spell in data,1.6
2016/17,2017-04-02,Arsenal,Man City,Home,2,2,1,0.74,1.4,Arsène Wenger,first spell in data,1.4
2016/17,2017-04-05,Arsenal,West Ham,Home,3,0,3,2.16,0.3,Arsène Wenger,first spell in data,1.4
2016/17,2017-04-10,Arsenal,Crystal Palace,Away,0,3,0,0.44,2.16,Arsène Wenger,first spell in data,1.3
2016/17,2017-04-17,Arsenal,Middlesbrough,Away,2,1,3,1.07,1.72,Arsène Wenger,first spell in data,1.3
2016/17,2017-04-26,Arsenal,Leicester,Home,1,0,3,0.41,0.6,Arsène Wenger,first spell in data,1.3
2016/17,2017-04-30,Arsenal,Tottenham,Away,0,2,0,0.59,3.46,Arsène Wenger,first spell in data,1.3
2016/17,2017-05-07,Arsenal,Man United,Home,2,0,3,1.04,0.58,Arsène Wenger,first spell in data,1.6
2016/17,2017-05-10,Arsenal,Southampton,Away,2,0,3,1.36,1.25,Arsène Wenger,first spell in data,1.6
2016/17,2017-05-13,Arsenal,Stoke,Away,4,1,3,2.64,1.3,Arsène Wenger,first spell in data,1.9
2016/17,2017-05-16,Arsenal,Sunderland,Home,2,0,3,3.84,0.27,Arsène Wenger,first spell in data,2.2
