season,date,team,opponent,venue,goals_for,goals_against,points,xg_for,xg_against,head_coach,appointment_type,rolling_ppg_10
2022/23,2023-04-25,Crystal Palace,Wolves,Away,0,2,0,0.58,1.13,Roy Hodgson,caretaker_made_permanent,1.1
2022/23,2023-04-29,Crystal Palace,West Ham,Home,4,3,3,2.32,1.98,Roy Hodgson,caretaker_made_permanent,1.3
2022/23,2023-05-06,Crystal Palace,Tottenham,Away,0,1,0,0.31,1.16,Roy Hodgson,caretaker_made_permanent,1.3
2022/23,2023-05-13,Crystal Palace,Bournemouth,Home,2,0,3,1.4,0.26,Roy Hodgson,caretaker_made_permanent,1.6
2022/23,2023-05-20,Crystal Palace,Fulham,Away,2,2,1,1.71,1.96,Roy Hodgson,caretaker_made_permanent,1.7
2022/23,2023-05-28,Crystal Palace,Nott'm Forest,Home,1,1,1,1.01,0.44,Roy Hodgson,caretaker_made_permanent,1.8
2023/24,2023-08-12,Crystal Palace,Sheffield United,Away,1,0,3,2.28,0.42,Roy Hodgson,caretaker_made_permanent,1.8
2023/24,2023-08-21,Crystal Palace,Arsenal,Home,0,1,0,1.07,2.21,Roy Hodgson,caretaker_made_permanent,1.5
2023/24,2023-08-26,Crystal Palace,Brentford,Away,1,1,1,1.06,0.95,Roy Hodgson,caretaker_made_permanent,1.3
2023/24,2023-09-03,Crystal Palace,Wolves,Home,3,2,3,2.33,1.14,Roy Hodgson,caretaker_made_permanent,1.5
2023/24,2023-09-16,Crystal Palace,Aston Villa,Away,1,3,0,1.12,2.32,Roy Hodgson,caretaker_made_permanent,1.5
2023/24,2023-09-23,Crystal Palace,Fulham,Home,0,0,1,0.37,0.54,Roy Hodgson,caretaker_made_permanent,1.3
2023/24,2023-09-30,Crystal Palace,Man United,Away,1,0,3,1.19,1.55,Roy Hodgson,caretaker_made_permanent,1.6
2023/24,2023-10-07,Crystal Palace,Nott'm Forest,Home,0,0,1,0.98,1.22,Roy Hodgson,caretaker_made_permanent,1.4
2023/24,2023-10-21,Crystal Palace,Newcastle,Away,0,4,0,1.09,3.73,Roy Hodgson,caretaker_made_permanent,1.3
2023/24,2023-10-27,Crystal Palace,Tottenham,Home,1,2,0,0.56,0.99,Roy Hodgson,caretaker_made_permanent,1.2
2023/24,2023-11-04,Crystal Palace,Burnley,Away,2,0,3,1.44,1.5,Roy Hodgson,caretaker_made_permanent,1.2
2023/24,2023-11-11,Crystal Palace,Everton,Home,2,3,0,1.89,1.79,Roy Hodgson,caretaker_made_permanent,1.2
2023/24,2023-11-25,Crystal Palace,Luton,Away,1,2,0,1.84,1.0,Roy Hodgson,caretaker_made_permanent,1.1
2023/24,2023-12-03,Crystal Palace,West Ham,Away,1,1,1,0.99,1.15,Roy Hodgson,caretaker_made_permanent,0.9
2023/24,2023-12-06,Crystal Palace,Bournemouth,Home,0,2,0,1.26,1.8,Roy Hodgson,caretaker_made_permanent,0.9
2023/24,2023-12-09,Crystal Palace,Liverpool,Home,1,2,0,1.79,1.37,Roy Hodgson,caretaker_made_permanent,0.8
2023/24,2023-12-16,Crystal Palace,Man City,Away,2,2,1,1.65,2.42,Roy Hodgson,caretaker_made_permanent,0.6
2023/24,2023-12-21,Crystal Palace,Brighton,Home,1,1,1,1.65,1.34,Roy Hodgson,caretaker_made_permanent,0.6
2023/24,2023-12-27,Crystal Palace,Chelsea,Away,1,2,0,0.96,2.73,Roy Hodgson,caretaker_made_permanent,0.6
2023/24,2023-12-30,Crystal Palace,Brentford,Home,3,1,3,1.61,1.29,Roy Hodgson,caretaker_made_permanent,0.9
2023/24,2024-01-20,Crystal Palace,Arsenal,Away,0,5,0,0.29,3.52,Roy Hodgson,caretaker_made_permanent,0.6
2023/24,2024-01-30,Crystal Palace,Sheffield United,Home,3,2,3,1.16,0.77,Roy Hodgson,caretaker_made_permanent,0.9
2023/24,2024-02-03,Crystal Palace,Brighton,Away,1,4,0,0.24,1.93,Roy Hodgson,caretaker_made_permanent,0.9
2023/24,2024-02-12,Crystal Palace,Chelsea,Home,1,3,0,0.72,1.27,Roy Hodgson,caretaker_made_permanent,0.8
2023/24,2024-02-19,Crystal Palace,Everton,Away,1,1,1,0.73,2.45,Ray Lewington,caretaker,0.9
2023/24,2024-02-24,Crystal Palace,Burnley,Home,3,0,3,2.42,0.08,Oliver Glasner,permanent,1.2
2023/24,2024-03-02,Crystal Palace,Tottenham,Away,1,3,0,0.28,2.66,Oliver Glasner,permanent,1.1
2023/24,2024-03-09,Crystal Palace,Luton,Home,1,1,1,3.25,1.09,Oliver Glasner,permanent,1.1
2023/24,2024-03-30,Crystal Palace,Nott'm Forest,Away,1,1,1,0.9,0.78,Oliver Glasner,permanent,1.2
2023/24,2024-04-02,Crystal Palace,Bournemouth,Away,0,1,0,0.17,1.31,Oliver Glasner,permanent,0.9
2023/24,2024-04-06,Crystal Palace,Man City,Home,2,4,0,1.49,2.26,Oliver Glasner,permanent,0.9
2023/24,2024-04-14,Crystal Palace,Liverpool,Away,1,0,3,2.13,3.04,Oliver Glasner,permanent,0.9
2023/24,2024-04-21,Crystal Palace,West Ham,Home,5,2,3,3.72,1.35,Oliver Glasner,permanent,1.2
2023/24,2024-04-24,Crystal Palace,Newcastle,Home,2,0,3,1.44,0.55,Oliver Glasner,permanent,1.5
2023/24,2024-04-27,Crystal Palace,Fulham,Away,1,1,1,1.05,1.39,Oliver Glasner,permanent,1.5
2023/24,2024-05-06,Crystal Palace,Man United,Home,4,0,3,2.07,0.34,Oliver Glasner,permanent,1.5
2023/24,2024-05-11,Crystal Palace,Wolves,Away,3,1,3,2.51,1.16,Oliver Glasner,permanent,1.8
2023/24,2024-05-19,Crystal Palace,Aston Villa,Home,5,0,3,2.23,0.6,Oliver Glasner,permanent,2.0
2024/25,2024-08-18,Crystal Palace,Brentford,Away,1,2,0,1.15,1.38,Oliver Glasner,permanent,1.9
2024/25,2024-08-24,Crystal Palace,West Ham,Home,0,2,0,1.38,1.53,Oliver Glasner,permanent,1.9
2024/25,2024-09-01,Crystal Palace,Chelsea,Away,1,1,1,0.46,2.98,Oliver Glasner,permanent,2.0
2024/25,2024-09-14,Crystal Palace,Leicester,Home,2,2,1,2.89,1.65,Oliver Glasner,permanent,1.8
2024/25,2024-09-21,Crystal Palace,Man United,Home,0,0,1,1.67,2.35,Oliver Glasner,permanent,1.6
2024/25,2024-09-28,Crystal Palace,Everton,Away,1,2,0,1.12,1.11,Oliver Glasner,permanent,1.3
2024/25,2024-10-05,Crystal Palace,Liverpool,Home,0,1,0,0.61,2.07,Oliver Glasner,permanent,1.2
2024/25,2024-10-21,Crystal Palace,Nott'm Forest,Away,0,1,0,0.84,1.89,Oliver Glasner,permanent,0.9
2024/25,2024-10-27,Crystal Palace,Tottenham,Home,1,0,3,0.98,1.02,Oliver Glasner,permanent,0.9
2024/25,2024-11-02,Crystal Palace,Wolves,Away,2,2,1,2.65,1.65,Oliver Glasner,permanent,0.7
2024/25,2024-11-09,Crystal Palace,Fulham,Home,0,2,0,1.96,2.25,Oliver Glasner,permanent,0.7
2024/25,2024-11-23,Crystal Palace,Aston Villa,Away,2,2,1,1.61,3.04,Oliver Glasner,permanent,0.8
2024/25,2024-11-30,Crystal Palace,Newcastle,Home,1,1,1,2.3,0.02,Oliver Glasner,permanent,0.8
2024/25,2024-12-03,Crystal Palace,Ipswich,Away,1,0,3,1.65,0.47,Oliver Glasner,permanent,1.0
2024/25,2024-12-07,Crystal Palace,Man City,Home,2,2,1,1.21,1.58,Oliver Glasner,permanent,1.0
2024/25,2024-12-15,Crystal Palace,Brighton,Away,3,1,3,3.01,1.32,Oliver Glasner,permanent,1.3
2024/25,2024-12-21,Crystal Palace,Arsenal,Home,1,5,0,1.61,3.05,Oliver Glasner,permanent,1.3
2024/25,2024-12-26,Crystal Palace,Bournemouth,Away,0,0,1,0.5,1.2,Oliver Glasner,permanent,1.4
2024/25,2024-12-29,Crystal Palace,Southampton,Home,2,1,3,3.05,1.22,Oliver Glasner,permanent,1.4
2024/25,2025-01-04,Crystal Palace,Chelsea,Home,1,1,1,1.28,1.52,Oliver Glasner,permanent,1.4
2024/25,2025-01-15,Crystal Palace,Leicester,Away,2,0,3,2.26,2.1,Oliver Glasner,permanent,1.7
2024/25,2025-01-18,Crystal Palace,West Ham,Away,2,0,3,1.63,0.22,Oliver Glasner,permanent,1.9
2024/25,2025-01-26,Crystal Palace,Brentford,Home,1,2,0,1.23,1.92,Oliver Glasner,permanent,1.8
2024/25,2025-02-02,Crystal Palace,Man United,Away,2,0,3,2.45,1.51,Oliver Glasner,permanent,1.8
2024/25,2025-02-15,Crystal Palace,Everton,Home,1,2,0,2.31,1.02,Oliver Glasner,permanent,1.7
2024/25,2025-02-22,Crystal Palace,Fulham,Away,2,0,3,1.46,0.23,Oliver Glasner,permanent,1.7
2024/25,2025-02-25,Crystal Palace,Aston Villa,Home,4,1,3,4.03,0.67,Oliver Glasner,permanent,2.0
2024/25,2025-03-08,Crystal Palace,Ipswich,Home,1,0,3,3.14,1.63,Oliver Glasner,permanent,2.2
2024/25,2025-04-02,Crystal Palace,Southampton,Away,1,1,1,0.94,0.69,Oliver Glasner,permanent,2.0
2024/25,2025-04-05,Crystal Palace,Brighton,Home,2,1,3,0.44,1.27,Oliver Glasner,permanent,2.2
2024/25,2025-04-12,Crystal Palace,Man City,Away,2,5,0,1.34,4.6,Oliver Glasner,permanent,1.9
2024/25,2025-04-16,Crystal Palace,Newcastle,Away,0,5,0,2.38,2.33,Oliver Glasner,permanent,1.6
2024/25,2025-04-19,Crystal Palace,Bournemouth,Home,0,0,1,0.34,0.66,Oliver Glasner,permanent,1.7
2024/25,2025-04-23,Crystal Palace,Arsenal,Away,2,2,1,2.51,1.92,Oliver Glasner,permanent,1.5
2024/25,2025-05-05,Crystal Palace,Nott'm Forest,Home,1,1,1,2.34,0.64,Oliver Glasner,permanent,1.6
2024/25,2025-05-11,Crystal Palace,Tottenham,Away,2,0,3,3.99,0.81,Oliver Glasner,permanent,1.6
2024/25,2025-05-20,Crystal Palace,Wolves,Home,4,2,3,1.68,1.43,Oliver Glasner,permanent,1.6
2024/25,2025-05-25,Crystal Palace,Liverpool,Away,1,1,1,1.41,1.92,Oliver Glasner,permanent,1.4
2025/26,2025-08-17,Crystal Palace,Chelsea,Away,0,0,1,1.03,1.37,Oliver Glasner,permanent,1.4
2025/26,2025-08-24,Crystal Palace,Nott'm Forest,Home,1,1,1,1.1,1.33,Oliver Glasner,permanent,1.2
2025/26,2025-08-31,Crystal Palace,Aston Villa,Away,3,0,3,2.6,1.21,Oliver Glasner,permanent,1.5
2025/26,2025-09-13,Crystal Palace,Sunderland,Home,0,0,1,1.76,0.35,Oliver Glasner,permanent,1.6
2025/26,2025-09-20,Crystal Palace,West Ham,Away,2,1,3,2.34,0.47,Oliver Glasner,permanent,1.8
2025/26,2025-09-27,Crystal Palace,Liverpool,Home,2,1,3,3.53,3.1,Oliver Glasner,permanent,2.0
2025/26,2025-10-05,Crystal Palace,Everton,Away,1,2,0,2.18,2.14,Oliver Glasner,permanent,1.9
2025/26,2025-10-18,Crystal Palace,Bournemouth,Home,3,3,1,4.56,2.05,Oliver Glasner,permanent,1.7
2025/26,2025-10-26,Crystal Palace,Arsenal,Away,0,1,0,0.35,0.86,Oliver Glasner,permanent,1.4
2025/26,2025-11-01,Crystal Palace,Brentford,Home,2,0,3,0.73,0.82,Oliver Glasner,permanent,1.6
2025/26,2025-11-09,Crystal Palace,Brighton,Home,0,0,1,0.84,0.64,Oliver Glasner,permanent,1.6
2025/26,2025-11-22,Crystal Palace,Wolves,Away,2,0,3,1.45,1.66,Oliver Glasner,permanent,1.8
2025/26,2025-11-30,Crystal Palace,Man United,Home,1,2,0,2.14,1.48,Oliver Glasner,permanent,1.5
2025/26,2025-12-03,Crystal Palace,Burnley,Away,1,0,3,0.99,1.17,Oliver Glasner,permanent,1.7
2025/26,2025-12-07,Crystal Palace,Fulham,Away,2,1,3,1.71,0.77,Oliver Glasner,permanent,1.7
2025/26,2025-12-14,Crystal Palace,Man City,Home,0,3,0,1.3,1.35,Oliver Glasner,permanent,1.4
2025/26,2025-12-20,Crystal Palace,Leeds,Away,1,4,0,1.53,2.91,Oliver Glasner,permanent,1.4
2025/26,2025-12-28,Crystal Palace,Tottenham,Home,0,1,0,0.93,0.87,Oliver Glasner,permanent,1.3
2025/26,2026-01-01,Crystal Palace,Fulham,Home,1,1,1,2.35,1.75,Oliver Glasner,permanent,1.4
2025/26,2026-01-04,Crystal Palace,Newcastle,Away,0,2,0,1.28,2.73,Oliver Glasner,permanent,1.1
2025/26,2026-01-07,Crystal Palace,Aston Villa,Home,0,0,1,1.33,2.07,Oliver Glasner,permanent,1.1
2025/26,2026-01-17,Crystal Palace,Sunderland,Away,1,2,0,1.15,1.85,Oliver Glasner,permanent,0.8
2025/26,2026-01-25,Crystal Palace,Chelsea,Home,1,3,0,2.42,3.09,Oliver Glasner,permanent,0.8
2025/26,2026-02-01,Crystal Palace,Nott'm Forest,Away,1,1,1,1.65,0.99,Oliver Glasner,permanent,0.6
2025/26,2026-02-08,Crystal Palace,Brighton,Away,1,0,3,0.93,0.74,Oliver Glasner,permanent,0.6
2025/26,2026-02-11,Crystal Palace,Burnley,Home,2,3,0,2.13,0.69,Oliver Glasner,permanent,0.6
2025/26,2026-02-22,Crystal Palace,Wolves,Home,1,0,3,2.04,1.68,Oliver Glasner,permanent,0.9
2025/26,2026-03-01,Crystal Palace,Man United,Away,1,2,0,0.38,2.35,Oliver Glasner,permanent,0.9
2025/26,2026-03-05,Crystal Palace,Tottenham,Away,3,1,3,1.92,1.3,Oliver Glasner,permanent,1.1
2025/26,2026-03-15,Crystal Palace,Leeds,Home,0,0,1,0.53,1.14,Oliver Glasner,permanent,1.2
2025/26,2026-04-12,Crystal Palace,Newcastle,Home,2,1,3,3.14,1.27,Oliver Glasner,permanent,1.4
2025/26,2026-04-20,Crystal Palace,West Ham,Home,0,0,1,0.73,0.62,Oliver Glasner,permanent,1.5
2025/26,2026-04-25,Crystal Palace,Liverpool,Away,1,3,0,2.2,1.45,Oliver Glasner,permanent,1.5
2025/26,2026-05-03,Crystal Palace,Bournemouth,Away,0,3,0,0.68,2.3,Oliver Glasner,permanent,1.4
2025/26,2026-05-10,Crystal Palace,Everton,Home,2,2,1,3.29,2.1,Oliver Glasner,permanent,1.2
2025/26,2026-05-13,Crystal Palace,Man City,Away,0,3,0,0.43,1.96,Oliver Glasner,permanent,1.2
2025/26,2026-05-17,Crystal Palace,Brentford,Away,2,2,1,1.82,1.55,Oliver Glasner,permanent,1.0
2025/26,2026-05-24,Crystal Palace,Arsenal,Home,1,2,0,1.0,3.91,Oliver Glasner,permanent,1.0
2014/15,2014-08-16,Everton,Leicester,Away,2,2,1,0.61,1.28,Roberto Martínez,first spell in data,
2014/15,2014-08-23,Everton,Arsenal,Home,2,2,1,1.33,1.43,Roberto Martínez,first spell in data,
2014/15,2014-08-30,Everton,Chelsea,Home,3,6,0,1.45,2.03,Roberto Martínez,first spell in data,
2014/15,2014-09-13,Everton,West Brom,Away,2,0,3,0.81,0.6,Roberto Martínez,first spell in data,
2014/15,2014-09-21,Everton,Crystal Palace,Home,2,3,0,2.56,1.63,Roberto Martínez,first spell in data,
2014/15,2014-09-27,Everton,Liverpool,Away,1,1,1,0.48,1.53,Roberto Martínez,first spell in data,
2014/15,2014-10-05,Everton,Man United,Away,1,2,0,2.14,1.62,Roberto Martínez,first spell in data,
2014/15,2014-10-18,Everton,Aston Villa,Home,3,0,3,1.67,0.37,Roberto Martínez,first spell in data,
2014/15,2014-10-26,Everton,Burnley,Away,3,1,3,1.32,1.56,Roberto Martínez,first spell in data,
2014/15,2014-11-01,Everton,Swansea,Home,0,0,1,1.15,0.69,Roberto Martínez,first spell in data,1.3
2014/15,2014-11-09,Everton,Sunderland,Away,1,1,1,1.32,0.51,Roberto Martínez,first spell in data,1.3
2014/15,2014-11-22,Everton,West Ham,Home,2,1,3,1.83,1.12,Roberto Martínez,first spell in data,1.5
2014/15,2014-11-30,Everton,Tottenham,Away,1,2,0,0.93,1.13,Roberto Martínez,first spell in data,1.5
2014/15,2014-12-03,Everton,Hull,Home,1,1,1,1.28,0.3,Roberto Martínez,first spell in data,1.3
2014/15,2014-12-06,Everton,Man City,Away,0,1,0,0.39,2.25,Roberto Martínez,first spell in data,1.3
2014/15,2014-12-15,Everton,QPR,Home,3,1,3,0.75,0.97,Roberto Martínez,first spell in data,1.5
2014/15,2014-12-20,Everton,Southampton,Away,0,3,0,0.6,2.21,Roberto Martínez,first spell in data,1.5
2014/15,2014-12-26,Everton,Stoke,Home,0,1,0,1.01,1.4,Roberto Martínez,first spell in data,1.2
2014/15,2014-12-28,Everton,Newcastle,Away,2,3,0,1.07,1.71,Roberto Martínez,first spell in data,0.9
2014/15,2015-01-01,Everton,Hull,Away,0,2,0,0.96,1.96,Roberto Martínez,first spell in data,0.8
2014/15,2015-01-10,Everton,Man City,Home,1,1,1,0.95,1.51,Roberto Martínez,first spell in data,0.8
2014/15,2015-01-19,Everton,West Brom,Home,0,0,1,1.49,0.2,Roberto Martínez,first spell in data,0.6
2014/15,2015-01-31,Everton,Crystal Palace,Away,1,0,3,1.36,1.21,Roberto Martínez,first spell in data,0.9
2014/15,2015-02-07,Everton,Liverpool,Home,0,0,1,0.23,1.04,Roberto Martínez,first spell in data,0.9
2014/15,2015-02-11,Everton,Chelsea,Away,0,1,0,0.71,0.9,Roberto Martínez,first spell in data,0.9
2014/15,2015-02-22,Everton,Leicester,Home,2,2,1,2.05,2.0,Roberto Martínez,first spell in data,0.7
2014/15,2015-03-01,Everton,Arsenal,Away,0,2,0,0.37,1.39,Roberto Martínez,first spell in data,0.7
2014/15,2015-03-04,Everton,Stoke,Away,0,2,0,0.42,1.04,Roberto Martínez,first spell in data,0.7
2014/15,2015-03-15,Everton,Newcastle,Home,3,0,3,2.26,0.81,Roberto Martínez,first spell in data,1.0
2014/15,2015-03-22,Everton,QPR,Away,2,1,3,0.84,1.39,Roberto Martínez,first spell in data,1.3
2014/15,2015-04-04,Everton,Southampton,Home,1,0,3,1.02,0.53,Roberto Martínez,first spell in data,1.5
2014/15,2015-04-11,Everton,Swansea,Away,1,1,1,0.84,1.1,Roberto Martínez,first spell in data,1.5
2014/15,2015-04-18,Everton,Burnley,Home,1,0,3,2.36,1.06,Roberto Martínez,first spell in data,1.5
2014/15,2015-04-26,Everton,Man United,Home,3,0,3,1.08,0.75,Roberto Martínez,first spell in data,1.7
2014/15,2015-05-02,Everton,Aston Villa,Away,2,3,0,1.4,1.56,Roberto Martínez,first spell in data,1.7
2014/15,2015-05-09,Everton,Sunderland,Home,0,2,0,1.14,1.2,Roberto Martínez,first spell in data,1.6
2014/15,2015-05-16,Everton,West Ham,Away,2,1,3,2.07,0.81,Roberto Martínez,first spell in data,1.9
2014/15,2015-05-24,Everton,Tottenham,Home,0,1,0,0.65,1.39,Roberto Martínez,first spell in data,1.9
2015/16,2015-08-08,Everton,Watford,Home,2,2,1,0.6,0.56,Roberto Martínez,first spell in data,1.7
2015/16,2015-08-15,Everton,Southampton,Away,3,0,3,1.4,1.06,Roberto Martínez,first spell in data,1.7
2015/16,2015-08-23,Everton,Man City,Home,0,2,0,0.58,1.58,Roberto Martínez,first spell in data,1.4
2015/16,2015-08-29,Everton,Tottenham,Away,0,0,1,0.69,2.0,Roberto Martínez,first spell in data,1.4
2015/16,2015-09-12,Everton,Chelsea,Home,3,1,3,1.18,0.66,Roberto Martínez,first spell in data,1.4
2015/16,2015-09-19,Everton,Swansea,Away,0,0,1,1.77,0.86,Roberto Martínez,first spell in data,1.2
2015/16,2015-09-28,Everton,West Brom,Away,3,2,3,2.3,1.28,Roberto Martínez,first spell in data,1.5
2015/16,2015-10-04,Everton,Liverpool,Home,1,1,1,1.2,1.31,Roberto Martínez,first spell in data,1.6
2015/16,2015-10-17,Everton,Man United,Home,0,3,0,0.65,1.48,Roberto Martínez,first spell in data,1.3
2015/16,2015-10-24,Everton,Arsenal,Away,1,2,0,0.37,2.56,Roberto Martínez,first spell in data,1.3
2015/16,2015-11-01,Everton,Sunderland,Home,6,2,3,2.35,1.22,Roberto Martínez,first spell in data,1.5
2015/16,2015-11-07,Everton,West Ham,Away,1,1,1,1.09,0.59,Roberto Martínez,first spell in data,1.3
2015/16,2015-11-21,Everton,Aston Villa,Home,4,0,3,2.83,0.32,Roberto Martínez,first spell in data,1.6
2015/16,2015-11-28,Everton,Bournemouth,Away,3,3,1,0.73,1.69,Roberto Martínez,first spell in data,1.6
2015/16,2015-12-07,Everton,Crystal Palace,Home,1,1,1,1.7,1.19,Roberto Martínez,first spell in data,1.4
2015/16,2015-12-12,Everton,Norwich,Away,1,1,1,2.44,1.49,Roberto Martínez,first spell in data,1.4
2015/16,2015-12-19,Everton,Leicester,Home,2,3,0,1.49,2.03,Roberto Martínez,first spell in data,1.1
2015/16,2015-12-26,Everton,Newcastle,Away,1,0,3,1.7,1.36,Roberto Martínez,first spell in data,1.3
2015/16,2015-12-28,Everton,Stoke,Home,3,4,0,2.25,1.58,Roberto Martínez,first spell in data,1.3
2015/16,2016-01-03,Everton,Tottenham,Home,1,1,1,0.72,0.76,Roberto Martínez,first spell in data,1.4
2015/16,2016-01-13,Everton,Man City,Away,0,0,1,0.37,1.45,Roberto Martínez,first spell in data,1.2
2015/16,2016-01-16,Everton,Chelsea,Away,3,3,1,1.59,2.45,Roberto Martínez,first spell in data,1.2
2015/16,2016-01-24,Everton,Swansea,Home,1,2,0,1.94,1.08,Roberto Martínez,first spell in data,0.9
2015/16,2016-02-03,Everton,Newcastle,Home,3,0,3,2.48,0.63,Roberto Martínez,first spell in data,1.1
2015/16,2016-02-06,Everton,Stoke,Away,3,0,3,3.06,0.69,Roberto Martínez,first spell in data,1.3
2015/16,2016-02-13,Everton,West Brom,Home,0,1,0,1.83,1.2,Roberto Martínez,first spell in data,1.2
2015/16,2016-03-01,Everton,Aston Villa,Away,3,1,3,2.64,0.6,Roberto Martínez,first spell in data,1.5
2015/16,2016-03-05,Everton,West Ham,Home,2,3,0,2.09,2.72,Roberto Martínez,first spell in data,1.2
2015/16,2016-03-19,Everton,Arsenal,Home,0,2,0,0.59,1.92,Roberto Martínez,first spell in data,1.2
2015/16,2016-04-03,Everton,Man United,Away,0,1,0,0.76,1.0,Roberto Martínez,first spell in data,1.1
2015/16,2016-04-09,Everton,Watford,Away,1,1,1,1.6,0.41,Roberto Martínez,first spell in data,1.1
2015/16,2016-04-13,Everton,Crystal Palace,Away,0,0,1,0.76,1.59,Roberto Martínez,first spell in data,1.1
2015/16,2016-04-16,Everton,Southampton,Home,1,1,1,0.32,1.38,Roberto Martínez,first spell in data,1.2
2015/16,2016-04-20,Everton,Liverpool,Away,0,4,0,0.09,3.24,Roberto Martínez,first spell in data,0.9
2015/16,2016-04-30,Everton,Bournemouth,Home,2,1,3,0.95,1.43,Roberto Martínez,first spell in data,0.9
2015/16,2016-05-07,Everton,Leicester,Away,1,3,0,1.3,4.51,Roberto Martínez,first spell in data,0.9
2015/16,2016-05-11,Everton,Sunderland,Away,0,3,0,1.17,2.45,Roberto Martínez,first spell in data,0.6
2015/16,2016-05-15,Everton,Norwich,Home,3,0,3,2.41,0.43,David Unsworth,caretaker,0.9
2016/17,2016-08-13,Everton,Tottenham,Home,1,1,1,0.79,1.12,Ronald Koeman,permanent,1.0
2016/17,2016-08-20,Everton,West Brom,Away,2,1,3,1.84,2.02,Ronald Koeman,permanent,1.3
2016/17,2016-08-27,Everton,Stoke,Home,1,0,3,2.32,0.19,Ronald Koeman,permanent,1.5
2016/17,2016-09-12,Everton,Sunderland,Away,3,0,3,2.85,1.04,Ronald Koeman,permanent,1.7
2016/17,2016-09-17,Everton,Middlesbrough,Home,3,1,3,1.17,0.18,Ronald Koeman,permanent,1.9
2016/17,2016-09-24,Everton,Bournemouth,Away,0,1,0,1.16,0.69,Ronald Koeman,permanent,1.9
2016/17,2016-09-30,Everton,Crystal Palace,Home,1,1,1,1.15,0.48,Ronald Koeman,permanent,1.7
2016/17,2016-10-15,Everton,Man City,Away,1,1,1,0.14,2.69,Ronald Koeman,permanent,1.8
2016/17,2016-10-22,Everton,Burnley,Away,1,2,0,0.75,0.91,Ronald Koeman,permanent,1.8
2016/17,2016-10-30,Everton,West Ham,Home,2,0,3,2.01,0.94,Ronald Koeman,permanent,1.8
2016/17,2016-11-05,Everton,Chelsea,Away,0,5,0,0.01,1.94,Ronald Koeman,permanent,1.7
2016/17,2016-11-19,Everton,Swansea,Home,1,1,1,1.55,1.07,Ronald Koeman,permanent,1.5
2016/17,2016-11-27,Everton,Southampton,Away,0,1,0,0.62,2.81,Ronald Koeman,permanent,1.2
2016/17,2016-12-04,Everton,Man United,Home,1,1,1,1.65,0.54,Ronald Koeman,permanent,1.0
2016/17,2016-12-10,Everton,Watford,Away,2,3,0,1.1,1.49,Ronald Koeman,permanent,0.7
2016/17,2016-12-13,Everton,Arsenal,Home,2,1,3,1.46,1.35,Ronald Koeman,permanent,1.0
2016/17,2016-12-19,Everton,Liverpool,Home,0,1,0,0.46,1.88,Ronald Koeman,permanent,0.9
2016/17,2016-12-26,Everton,Leicester,Away,2,0,3,1.26,0.38,Ronald Koeman,permanent,1.1
2016/17,2016-12-30,Everton,Hull,Away,2,2,1,1.28,0.85,Ronald Koeman,permanent,1.2
2016/17,2017-01-02,Everton,Southampton,Home,3,0,3,2.35,1.01,Ronald Koeman,permanent,1.2
2016/17,2017-01-15,Everton,Man City,Home,4,0,3,0.57,0.57,Ronald Koeman,permanent,1.5
2016/17,2017-01-21,Everton,Crystal Palace,Away,1,0,3,0.95,0.46,Ronald Koeman,permanent,1.7
2016/17,2017-02-01,Everton,Stoke,Away,1,1,1,0.87,1.74,Ronald Koeman,permanent,1.8
2016/17,2017-02-04,Everton,Bournemouth,Home,6,3,3,2.76,2.15,Ronald Koeman,permanent,2.0
2016/17,2017-02-11,Everton,Middlesbrough,Away,0,0,1,0.83,0.65,Ronald Koeman,permanent,2.1
2016/17,2017-02-25,Everton,Sunderland,Home,2,0,3,1.7,0.51,Ronald Koeman,permanent,2.1
2016/17,2017-03-05,Everton,Tottenham,Away,2,3,0,0.81,1.7,Ronald Koeman,permanent,2.1
2016/17,2017-03-11,Everton,West Brom,Home,3,0,3,2.18,0.13,Ronald Koeman,permanent,2.1
2016/17,2017-03-18,Everton,Hull,Home,4,0,3,2.63,0.53,Ronald Koeman,permanent,2.3
2016/17,2017-04-01,Everton,Liverpool,Away,1,3,0,1.44,0.63,Ronald Koeman,permanent,2.0
2016/17,2017-04-04,Everton,Man United,Away,1,1,1,0.59,1.67,Ronald Koeman,permanent,1.8
2016/17,2017-04-09,Everton,Leicester,Home,4,2,3,2.65,0.84,Ronald Koeman,permanent,1.8
2016/17,2017-04-15,Everton,Burnley,Home,3,1,3,1.67,1.15,Ronald Koeman,permanent,2.0
2016/17,2017-04-22,Everton,West Ham,Away,0,0,1,0.1,0.67,Ronald Koeman,permanent,1.8
2016/17,2017-04-30,Everton,Chelsea,Home,0,3,0,0.68,1.82,Ronald Koeman,permanent,1.7
2016/17,2017-05-06,Everton,Swansea,Away,0,1,0,0.27,2.09,Ronald Koeman,permanent,1.4
2016/17,2017-05-12,Everton,Watford,Home,1,0,3,1.13,1.55,Ronald Koeman,permanent,1.7
2016/17,2017-05-21,Everton,Arsenal,Away,1,3,0,1.88,3.35,Ronald Koeman,permanent,1.4
2017/18,2017-08-12,Everton,Stoke,Home,1,0,3,0.72,0.28,Ronald Koeman,permanent,1.4
2017/18,2017-08-21,Everton,Man City,Away,1,1,1,0.6,1.14,Ronald Koeman,permanent,1.5
