team_id,team,season,points,xgd_pg,start,spend_eur,signings,paid_signings,spend_rel,first_coach,last_coach,points_prev,xgd_prev,prev_last_coach,d_points,d_xgd,new_manager,log_spend
1,Arsenal,2015/16,71,1.0440381210526315,2015,0.0,0.0,0.0,0.0,13,13,75,0.8969412105263159,13,-4,0.14709691052631557,0,0.0
1,Arsenal,2016/17,75,0.4344731578947368,2016,72000000.0,4.0,4.0,1.3652912621359223,13,13,71,1.0440381210526315,13,4,-0.6095649631578948,0,0.8609011695980892
1,Arsenal,2017/18,63,0.6190531315789474,2017,53000000.0,2.0,1.0,0.7805883869067344,13,13,75,0.4344731578947368,13,-12,0.18457997368421059,0,0.5769438641248963
1,Arsenal,2018/19,70,0.19731275000000004,2018,77650000.0,4.0,4.0,1.2215745962825746,140,140,63,0.6190531315789474,13,7,-0.42174038157894733,1,0.7982162220704677
1,Arsenal,2019/20,56,-0.1692117894736842,2019,144100000.0,5.0,4.0,1.98676409761478,140,91,70,0.19731275000000004,140,-14,-0.36652453947368424,0,1.094190559755879
1,Arsenal,2020/21,61,0.23723936842105262,2020,34000000.0,4.0,3.0,0.594738835308945,91,91,56,-0.1692117894736842,91,5,0.40645115789473685,0,0.4667099832117968
1,Arsenal,2021/22,69,0.39479134210526323,2021,165600000.0,6.0,6.0,2.6007679804000094,91,91,61,0.23723936842105262,91,8,0.15755197368421062,0,1.2811471505997973
1,Arsenal,2022/23,84,0.8249714657894737,2022,131600000.0,5.0,5.0,1.1477211281854494,91,91,69,0.39479134210526323,91,15,0.43018012368421044,0,0.7644073396266531
1,Arsenal,2023/24,89,1.3844829894736843,2023,231600000.0,4.0,3.0,1.6623063423877351,91,91,84,0.8249714657894737,91,5,0.5595115236842106,0,0.9791927931367739
1,Arsenal,2024/25,74,0.8839485078947368,2024,107600000.0,5.0,3.0,0.9196345392853175,91,91,89,1.3844829894736843,91,-15,-0.5005344815789475,0,0.6521348237997181
1,Arsenal,2025/26,85,1.167179152631579,2025,294600000.0,8.0,7.0,1.6589939603834944,91,91,74,0.8839485078947368,91,11,0.2832306447368421,0,0.9779478408718776
2,Aston Villa,2015/16,17,-0.8548029894736842,2015,52000000.0,5.0,5.0,1.1957321559970566,138,42,38,-0.436936447368421,138,-21,-0.41786654210526314,0,0.7865155471725077
