model,term,coef,ci_low,ci_high,p_value
1 baseline,Intercept,43.60707335699957,31.122240277614424,56.09190643638472,7.60657127501248e-12
1 baseline,points_prev,-0.8291219311017473,-1.0560229731940853,-0.6022208890094092,7.954969892953265e-13
1 baseline,xgd_prev,16.758855703318623,10.927572009604258,22.59013939703299,1.7725434466772174e-08
2 + spending,Intercept,42.3086066799539,30.143685149211006,54.473528210696784,9.322348009968271e-12
2 + spending,points_prev,-0.8545808128813341,-1.0829699250242084,-0.6261917007384599,2.238079854423002e-13
2 + spending,xgd_prev,15.751910190901265,10.210547370373357,21.29327301142917,2.526931068124713e-08
2 + spending,spend_rel,2.690909692554434,0.46230466981821516,4.919514715290653,0.01795516527374232
3 + new manager,Intercept,40.194818543387264,28.260834387271785,52.12880269950274,4.0743258817882366e-11
3 + new manager,points_prev,-0.8250990745639841,-1.0504384003940466,-0.5997597487339217,7.147968508581714e-13
3 + new manager,xgd_prev,15.829375430955785,10.26654605304082,21.39220480887075,2.4442238213939093e-08
3 + new manager,spend_rel,2.2093304561013927,-0.01795663144464843,4.436617543647434,0.051875853372035735
3 + new manager,new_manager,5.021267143883339,0.5605237933459577,9.48201049442072,0.027366692453109246
4 xG outcome,Intercept,-0.2258915177852164,-0.5886822295610531,0.13689919399062025,0.2223242912343356
4 xG outcome,points_prev,0.00197053681918123,-0.0047386305121564975,0.008679704150518958,0.5648468380201852
4 xG outcome,xgd_prev,-0.308909523047981,-0.4991555941078599,-0.1186634519881021,0.0014602695950250155
4 xG outcome,spend_rel,0.10282477796215292,0.033983268627113594,0.17166628729719224,0.003417095487817074
4 xG outcome,new_manager,0.1396764635758267,0.007785054851740775,0.27156787229991264,0.03792602779322517
5 robust: log spend,Intercept,39.480555798767675,27.609308690586413,51.35180290694893,7.11039786382132e-11
5 robust: log spend,points_prev,-0.8336661575504105,-1.0605969532704547,-0.6067353618303664,6.010773343181945e-13
5 robust: log spend,xgd_prev,15.983727346558624,10.420384323904115,21.54707036921313,1.7910323882143125e-08
5 robust: log spend,log_spend,5.429310509866847,0.3184552071619535,10.54016581257174,0.03733438660482408
5 robust: log spend,new_manager,4.884973114603667,0.42809082318678904,9.341855406020544,0.03169614554182918
6 robust: top 5% spenders removed,Intercept,39.59200724610456,27.077352296745218,52.1066621954639,5.623292025370223e-10
6 robust: top 5% spenders removed,points_prev,-0.8164277830130544,-1.0595756569555015,-0.5732799090706072,4.6712794811578736e-11
6 robust: top 5% spenders removed,xgd_prev,15.625505976015202,9.66036103967803,21.590650912352373,2.835533512030818e-07
6 robust: top 5% spenders removed,spend_rel,2.420758620681107,-0.8896568251909134,5.731174066553128,0.15179099858669173
6 robust: top 5% spenders removed,new_manager,4.695890117139443,-0.005786460392402049,9.397566694671289,0.050282626452351535
